short_name,value_eur,player_positions,age,height_cm,weight_kg,overall,pace,shooting,passing,dribbling,defending,physic
Y. Carrasco,54500000.0,LM,28,181,73,85,89.0,82.0,80.0,87.0,53.0,67.0
F. Kostić,53000000.0,LM,29,184,84,85,84.0,78.0,82.0,82.0,68.0,80.0
J. Vardy,23000000.0,ST,35,179,74,85,84.0,84.0,70.0,79.0,52.0,72.0
N. Süle,59000000.0,CB,26,195,99,85,71.0,48.0,66.0,59.0,85.0,83.0
N. Fekir,54500000.0,CAM,28,173,75,85,83.0,82.0,82.0,87.0,38.0,80.0
M. Acuña,46500000.0,LB,30,172,69,85,76.0,74.0,83.0,87.0,80.0,83.0
Diogo Jota,76000000.0,CF,25,178,73,85,85.0,83.0,75.0,85.0,57.0,77.0
T. Hernández,76000000.0,LB,24,184,81,85,93.0,72.0,76.0,81.0,78.0,83.0
P. Schick,67500000.0,ST,26,191,86,85,78.0,83.0,71.0,83.0,36.0,76.0
M. de Ligt,71000000.0,CB,22,189,89,85,75.0,59.0,61.0,69.0,84.0,87.0
P. Foden,109500000.0,LW,22,171,69,85,82.0,78.0,81.0,88.0,56.0,60.0
Pedri,116000000.0,CM,19,174,61,85,79.0,67.0,81.0,87.0,68.0,73.0
G. Chiellini,7500000.0,CB,37,187,85,84,65.0,46.0,60.0,58.0,85.0,83.0
A. Gómez,20000000.0,CAM,34,167,68,84,86.0,78.0,83.0,85.0,39.0,54.0
Sergio Ramos,7500000.0,CB,36,184,82,84,61.0,69.0,73.0,70.0,83.0,77.0
D. Mertens,18000000.0,CF,35,169,61,84,78.0,82.0,80.0,87.0,34.0,49.0
L. Suárez,18000000.0,ST,35,182,86,84,70.0,86.0,78.0,78.0,46.0,81.0
M. Hummels,20000000.0,CB,33,191,94,84,53.0,59.0,76.0,72.0,87.0,78.0
E. Džeko,14500000.0,ST,36,193,80,84,63.0,84.0,71.0,77.0,45.0,75.0
I. Perišić,26500000.0,LM,33,186,80,84,78.0,81.0,79.0,82.0,74.0,78.0
E. Hazard,35000000.0,LW,31,175,74,84,83.0,80.0,82.0,87.0,35.0,63.0
Á. Di María,20000000.0,RW,34,180,69,84,79.0,79.0,84.0,87.0,48.0,67.0
L. Bonucci,11000000.0,CB,35,190,85,84,54.0,59.0,69.0,71.0,85.0,78.0
K. Trippier,30500000.0,RB,31,173,71,84,70.0,64.0,82.0,77.0,80.0,72.0
Muniain,41500000.0,LM,29,170,66,84,81.0,77.0,82.0,87.0,51.0,61.0
Canales,35000000.0,RM,31,176,65,84,83.0,79.0,85.0,82.0,68.0,71.0
J. Matip,34500000.0,CB,30,194,90,84,61.0,46.0,69.0,71.0,87.0,78.0
S. de Vrij,34500000.0,CB,30,189,78,84,68.0,41.0,65.0,69.0,87.0,79.0
L. Insigne,35000000.0,LW,31,163,59,84,84.0,78.0,84.0,89.0,36.0,45.0
D. Tadić,26500000.0,LW,33,181,76,84,68.0,81.0,86.0,84.0,43.0,77.0
W. Ben Yedder,35500000.0,ST,31,170,68,84,81.0,84.0,78.0,88.0,39.0,68.0
R. Varane,39000000.0,CB,29,191,81,84,81.0,49.0,64.0,66.0,85.0,80.0
S. Savić,29000000.0,CB,31,187,80,84,64.0,35.0,58.0,58.0,87.0,80.0
Carvajal,36500000.0,RB,30,173,73,84,82.0,54.0,77.0,80.0,78.0,79.0
J. Grealish,46000000.0,LW,26,180,81,84,76.0,76.0,83.0,87.0,46.0,69.0
M. Kovačić,42000000.0,CM,28,176,80,84,70.0,69.0,83.0,88.0,71.0,71.0
H. Çalhanoğlu,42000000.0,CM,28,178,76,84,67.0,80.0,85.0,86.0,68.0,64.0
T. Partey,36000000.0,CDM,29,185,77,84,65.0,71.0,81.0,80.0,80.0,83.0
D. Berardi,45000000.0,RM,27,183,72,84,82.0,81.0,81.0,86.0,36.0,71.0
R. De Paul,42000000.0,CM,28,180,70,84,78.0,77.0,83.0,82.0,75.0,81.0
Y. Tielemans,52500000.0,CM,25,176,72,84,56.0,80.0,86.0,81.0,70.0,73.0
L. Hernández,46000000.0,CB,26,184,79,84,77.0,54.0,70.0,71.0,84.0,80.0
L. Sané,49500000.0,LM,26,183,80,84,88.0,81.0,80.0,85.0,38.0,66.0
M. Ødegaard,63500000.0,CAM,23,178,68,84,76.0,75.0,86.0,84.0,58.0,63.0
Marcos Llorente,48000000.0,CM,27,184,74,84,88.0,79.0,81.0,82.0,78.0,81.0
W. Ndidi,47500000.0,CDM,25,183,74,84,66.0,62.0,68.0,73.0,85.0,83.0
L. Pellegrini,55000000.0,CAM,26,186,77,84,79.0,77.0,83.0,84.0,74.0,78.0
Oyarzabal,53000000.0,LW,25,181,79,84,79.0,83.0,80.0,83.0,41.0,62.0
F. Kessié,47500000.0,CDM,25,183,88,84,78.0,76.0,74.0,79.0,82.0,87.0
F. Tomori,60500000.0,CB,24,185,79,84,86.0,40.0,60.0,66.0,86.0,81.0
J. Sancho,61500000.0,LW,22,180,76,84,81.0,74.0,81.0,89.0,36.0,59.0
M. Mount,57500000.0,CAM,23,180,74,84,74.0,81.0,85.0,82.0,55.0,67.0
D. Rice,52000000.0,CDM,23,185,80,84,71.0,64.0,74.0,76.0,82.0,83.0
A. Davies,60500000.0,LB,21,185,77,84,94.0,66.0,77.0,85.0,76.0,77.0
A. Hakimi,53500000.0,RB,23,181,73,84,92.0,75.0,79.0,80.0,75.0,78.0
K. Havertz,84500000.0,CAM,23,189,82,84,81.0,79.0,79.0,84.0,45.0,66.0
F. Chiesa,66500000.0,LW,24,175,70,84,91.0,81.0,76.0,86.0,48.0,73.0
A. Bastoni,60500000.0,CB,23,190,75,84,73.0,35.0,69.0,71.0,86.0,82.0
R. James,57000000.0,RWB,22,178,87,84,81.0,70.0,82.0,82.0,80.0,82.0
F. Valverde,66000000.0,CM,23,182,78,84,87.0,74.0,80.0,79.0,78.0,80.0
Éder Militão,57500000.0,CB,24,186,78,84,86.0,50.0,70.0,72.0,85.0,82.0
L. Díaz,56000000.0,LW,25,180,73,84,91.0,80.0,75.0,87.0,34.0,73.0
S. Tonali,62500000.0,CDM,22,181,79,84,81.0,73.0,81.0,79.0,79.0,82.0
J. Koundé,57500000.0,CB,23,181,75,84,84.0,45.0,64.0,74.0,85.0,78.0
Rafael Leão,66500000.0,LW,23,188,81,84,91.0,77.0,73.0,86.0,27.0,74.0
M. Diaby,61500000.0,RM,22,171,67,84,93.0,73.0,75.0,87.0,42.0,59.0
João Félix,68500000.0,CF,22,181,72,84,83.0,80.0,81.0,88.0,40.0,67.0
D. Vlahović,86500000.0,ST,22,190,75,84,80.0,85.0,66.0,78.0,28.0,79.0
J. Bellingham,81500000.0,CM,19,186,75,84,75.0,75.0,78.0,84.0,77.0,80.0
Jesús Navas,8000000.0,RB,36,172,60,83,85.0,68.0,82.0,81.0,79.0,57.0
Piqué,9500000.0,CB,35,194,85,83,56.0,61.0,71.0,68.0,83.0,76.0
David Silva,12000000.0,CAM,36,173,67,83,61.0,72.0,86.0,85.0,52.0,53.0
J. Henderson,28500000.0,CM,32,182,80,83,66.0,74.0,83.0,78.0,78.0,81.0
Fernando,12500000.0,CDM,34,183,76,83,65.0,62.0,76.0,73.0,83.0,81.0
J. Cuadrado,13500000.0,RB,34,179,72,83,90.0,75.0,78.0,87.0,76.0,72.0
Koke,34500000.0,CM,30,176,75,83,70.0,72.0,84.0,79.0,78.0,79.0
A. Griezmann,30500000.0,ST,31,176,73,83,80.0,82.0,83.0,85.0,52.0,72.0
Luis Alberto,35500000.0,CM,29,183,74,83,54.0,75.0,86.0,83.0,57.0,57.0
Roberto Firmino,35500000.0,CF,30,181,76,83,74.0,76.0,79.0,87.0,59.0,78.0
J. Stones,34500000.0,CB,28,188,76,83,72.0,51.0,71.0,75.0,84.0,77.0
H. Ziyech,35500000.0,RW,29,181,65,83,76.0,77.0,87.0,83.0,50.0,65.0
Ricardo Pereira,33000000.0,RB,28,175,70,83,79.0,67.0,79.0,81.0,80.0,73.0
P. Zieliński,36500000.0,CAM,28,180,75,83,81.0,77.0,81.0,86.0,70.0,62.0
T. Lemar,47000000.0,CM,26,171,66,83,82.0,78.0,83.0,87.0,68.0,64.0
P. Højbjerg,40500000.0,CDM,26,187,84,83,55.0,73.0,77.0,77.0,80.0,82.0
Á. Correa,42500000.0,ST,27,171,70,83,85.0,84.0,77.0,87.0,50.0,74.0
D. Zapata,30500000.0,ST,31,189,88,83,78.0,82.0,63.0,79.0,35.0,85.0
J. Giménez,38500000.0,CB,27,185,79,83,71.0,46.0,57.0,60.0,85.0,83.0
Diego Carlos,30500000.0,CB,29,186,79,83,76.0,47.0,63.0,67.0,82.0,82.0
Angeliño,42000000.0,LWB,25,171,69,83,78.0,71.0,82.0,84.0,76.0,70.0
Marco Asensio,43000000.0,RW,26,182,76,83,82.0,80.0,81.0,83.0,43.0,62.0
Rúben Neves,47500000.0,CM,25,180,80,83,58.0,74.0,86.0,77.0,76.0,73.0
Merino,47000000.0,CM,26,189,83,83,73.0,78.0,81.0,82.0,82.0,81.0
K. Laimer,38500000.0,CDM,25,180,72,83,84.0,68.0,78.0,79.0,81.0,78.0
P. Kimpembe,42000000.0,CB,26,189,80,83,80.0,43.0,68.0,69.0,83.0,86.0
Fabián,44500000.0,CM,26,189,70,83,61.0,79.0,80.0,83.0,74.0,72.0
F. Mendy,38000000.0,LB,27,180,73,83,92.0,64.0,77.0,78.0,78.0,84.0
Ronaldo Cabrais,35000000.0,CAM,30,177,75,83,88.0,77.0,83.0,84.0,35.0,72.0
Gabriel Jesus,48500000.0,ST,25,175,73,83,84.0,82.0,74.0,86.0,40.0,74.0
O. Dembélé,48000000.0,RW,25,178,67,83,93.0,77.0,79.0,87.0,36.0,56.0
V. Osimhen,58000000.0,ST,23,185,78,83,90.0,82.0,65.0,78.0,40.0,81.0
C. Romero,49500000.0,CB,24,185,79,83,73.0,46.0,57.0,65.0,85.0,82.0
Raphinha,48000000.0,RW,25,176,68,83,91.0,79.0,77.0,85.0,50.0,73.0
Carlos Soler,53000000.0,CM,25,180,76,83,80.0,77.0,83.0,80.0,71.0,72.0
Bremer,45500000.0,CB,25,188,82,83,78.0,50.0,56.0,65.0,84.0,79.0
Pau Torres,50500000.0,CB,25,191,80,83,73.0,38.0,67.0,70.0,84.0,81.0
C. Gakpo,52000000.0,LW,23,189,76,83,87.0,82.0,77.0,84.0,41.0,74.0
R. Araujo,52000000.0,CB,23,192,91,83,77.0,51.0,65.0,61.0,83.0,83.0
Raúl Albiol,5500000.0,CB,36,190,82,82,38.0,41.0,62.0,63.0,85.0,71.0
I. Rakitić,14000000.0,CM,34,184,78,82,53.0,80.0,86.0,78.0,75.0,68.0
D. Payet,12500000.0,CAM,35,175,77,82,70.0,78.0,84.0,83.0,40.0,65.0
O. Giroud,13000000.0,ST,35,192,93,82,42.0,83.0,72.0,73.0,42.0,78.0
S. Kjær,14500000.0,CB,33,190,86,82,62.0,54.0,64.0,60.0,84.0,78.0
Yuri Berchiche,21000000.0,LB,32,181,80,82,81.0,68.0,76.0,76.0,79.0,82.0
T. Alderweireld,14500000.0,CB,33,186,81,82,57.0,55.0,70.0,67.0,85.0,75.0
M. Arnautović,19500000.0,ST,33,192,83,82,78.0,82.0,79.0,79.0,44.0,82.0
Azpilicueta,20000000.0,CB,32,178,77,82,64.0,55.0,76.0,72.0,84.0,76.0
Coutinho,29500000.0,CAM,30,172,68,82,62.0,79.0,80.0,88.0,52.0,59.0
C. Eriksen,29000000.0,CM,30,181,76,82,61.0,78.0,88.0,80.0,53.0,52.0
I. Gueye,20500000.0,CDM,32,174,66,82,67.0,66.0,72.0,78.0,83.0,76.0
S. Coates,21000000.0,CB,31,196,94,82,68.0,49.0,55.0,62.0,84.0,87.0
Isco,29500000.0,CAM,30,176,79,82,65.0,75.0,80.0,88.0,59.0,58.0
W. Zaha,30000000.0,LW,29,180,66,82,91.0,79.0,73.0,86.0,37.0,76.0
L. Muriel,25500000.0,ST,31,179,79,82,89.0,83.0,74.0,86.0,27.0,67.0
F. Acerbi,10000000.0,CB,34,192,88,82,62.0,50.0,64.0,64.0,85.0,78.0
S. Berghuis,29500000.0,CAM,30,182,75,82,80.0,82.0,83.0,82.0,40.0,69.0
L. Digne,27500000.0,LB,28,178,74,82,78.0,69.0,80.0,79.0,77.0,76.0
K. Volland,30500000.0,ST,29,179,85,82,70.0,85.0,79.0,80.0,46.0,84.0
Nacho Fernández,20000000.0,CB,32,180,76,82,75.0,37.0,69.0,70.0,82.0,80.0
Gabriel Paulista,21000000.0,CB,31,185,72,82,67.0,49.0,71.0,65.0,84.0,83.0
G. Kondogbia,29500000.0,CM,29,188,76,82,68.0,75.0,77.0,76.0,81.0,88.0
Sergi Darder,30500000.0,CM,28,180,71,82,82.0,74.0,82.0,83.0,74.0,77.0
L. Spinazzola,27000000.0,LWB,29,186,75,82,91.0,64.0,73.0,80.0,78.0,69.0
Iñigo Martínez,21000000.0,CB,31,182,77,82,71.0,56.0,67.0,61.0,82.0,80.0
W. Orban,25500000.0,CB,29,186,87,82,57.0,36.0,53.0,56.0,84.0,81.0
R. Jiménez,25500000.0,ST,31,188,81,82,73.0,81.0,76.0,80.0,47.0,82.0
S. Haller,31000000.0,ST,28,190,82,82,65.0,80.0,62.0,74.0,52.0,82.0
M. Ginter,29000000.0,CB,28,191,86,82,60.0,59.0,71.0,66.0,84.0,79.0
E. Can,30500000.0,CM,28,186,86,82,79.0,78.0,77.0,80.0,82.0,87.0
R. Guerreiro,27500000.0,LB,28,170,71,82,74.0,77.0,86.0,87.0,75.0,55.0
Grimaldo,33000000.0,LB,26,172,67,82,87.0,65.0,81.0,83.0,74.0,71.0
Otávio,32500000.0,RM,27,171,67,82,78.0,69.0,80.0,85.0,63.0,71.0
Gayà,32000000.0,LB,27,172,66,82,83.0,61.0,76.0,80.0,78.0,73.0
T. Werner,38000000.0,ST,26,180,76,82,90.0,80.0,69.0,82.0,35.0,69.0
J. Brandt,40000000.0,CAM,26,185,83,82,67.0,78.0,82.0,85.0,48.0,65.0
Anderson Talisca,31000000.0,CF,28,190,80,82,80.0,82.0,78.0,83.0,52.0,75.0
J. Tah,33500000.0,CB,26,195,94,82,67.0,37.0,59.0,61.0,83.0,85.0
A. Christensen,37500000.0,CB,26,188,81,82,68.0,32.0,66.0,70.0,84.0,74.0
A. Kramarić,25500000.0,CF,31,177,73,82,71.0,80.0,79.0,85.0,30.0,72.0
Rafa,30000000.0,RW,29,172,66,82,91.0,73.0,75.0,86.0,50.0,52.0
G. Di Lorenzo,27500000.0,RB,28,183,83,82,85.0,66.0,73.0,77.0,78.0,80.0
J. Maddison,38000000.0,CAM,25,175,73,82,73.0,78.0,84.0,85.0,54.0,62.0
M. Locatelli,40000000.0,CDM,24,185,75,82,63.0,72.0,79.0,78.0,79.0,79.0
R. Gosens,29500000.0,LWB,27,183,76,82,82.0,75.0,74.0,79.0,77.0,80.0
Gonçalo Guedes,41000000.0,ST,25,179,68,82,86.0,83.0,74.0,83.0,38.0,70.0
Aritz Elustondo,29000000.0,CB,28,180,71,82,64.0,39.0,65.0,62.0,82.0,78.0
I. Bennacer,40000000.0,CDM,24,175,70,82,77.0,68.0,80.0,86.0,77.0,76.0
C. Pulisic,48000000.0,LW,23,177,69,82,87.0,71.0,73.0,86.0,37.0,59.0
André Silva,38000000.0,ST,26,185,84,82,74.0,83.0,70.0,82.0,47.0,78.0
B. Chilwell,37000000.0,LWB,25,180,77,82,76.0,60.0,78.0,78.0,78.0,75.0
Josué Chiamulera,25000000.0,CB,30,185,80,82,78.0,43.0,56.0,64.0,85.0,79.0
T. Abraham,42000000.0,ST,24,195,86,82,83.0,81.0,66.0,78.0,36.0,80.0
R. Malinovskyi,30500000.0,CF,29,181,79,82,76.0,81.0,83.0,81.0,64.0,80.0
D. Dumfries,34500000.0,RWB,26,188,80,82,83.0,63.0,70.0,73.0,78.0,89.0
Lucas Paquetá,46000000.0,CAM,24,180,72,82,72.0,78.0,79.0,85.0,69.0,78.0
A. Danjuma,36500000.0,LM,25,178,74,82,88.0,81.0,75.0,82.0,42.0,68.0
N. Mazraoui,40500000.0,RB,24,183,65,82,84.0,66.0,77.0,82.0,76.0,74.0
Ferran Torres,49000000.0,LW,22,184,77,82,84.0,79.0,79.0,83.0,35.0,67.0
A. Tchouaméni,61500000.0,CM,22,187,81,82,70.0,70.0,79.0,78.0,81.0,82.0
Dani Olmo,46000000.0,CAM,24,179,72,82,67.0,76.0,81.0,86.0,50.0,59.0
B. Saka,60500000.0,RM,20,178,65,82,84.0,74.0,78.0,83.0,65.0,65.0
N. Schlotterbeck,44500000.0,CB,22,191,86,82,76.0,56.0,66.0,72.0,84.0,78.0
D. Núñez,61500000.0,ST,23,186,80,82,89.0,82.0,68.0,77.0,42.0,86.0
Antony,49000000.0,RW,22,174,63,82,93.0,74.0,75.0,86.0,39.0,69.0
F. Wirtz,66000000.0,CAM,19,176,72,82,78.0,73.0,80.0,86.0,51.0,60.0
Pepe,4600000.0,CB,39,187,79,81,77.0,51.0,60.0,61.0,81.0,87.0
João Moutinho,10500000.0,CM,35,170,61,81,47.0,71.0,84.0,79.0,71.0,66.0
C. Vela,16000000.0,RW,33,177,77,81,77.0,79.0,76.0,83.0,30.0,64.0
J. Vertonghen,7000000.0,CB,35,191,89,81,69.0,62.0,72.0,67.0,83.0,78.0
G. Bale,20500000.0,RW,32,185,82,81,80.0,84.0,81.0,79.0,55.0,69.0
É. Banega,12000000.0,CM,34,176,78,81,62.0,74.0,83.0,82.0,75.0,72.0
E. Cavani,11000000.0,ST,35,185,77,81,61.0,83.0,68.0,72.0,51.0,73.0
Rafael Tolói,17500000.0,CB,31,185,75,81,67.0,52.0,59.0,65.0,82.0,82.0
Oscar,25000000.0,CAM,30,179,70,81,79.0,78.0,82.0,83.0,59.0,67.0
C. Smalling,16500000.0,CB,32,194,81,81,62.0,47.0,58.0,60.0,83.0,80.0
M. Götze,25000000.0,CAM,30,176,72,81,67.0,74.0,83.0,84.0,55.0,67.0
N. Otamendi,8500000.0,CB,34,182,78,81,63.0,57.0,62.0,59.0,83.0,81.0
H. Mkhitaryan,16000000.0,CAM,33,177,75,81,82.0,79.0,78.0,83.0,56.0,72.0
J. Corona,25500000.0,RW,29,173,66,81,82.0,65.0,80.0,86.0,73.0,67.0
T. Delaney,21500000.0,CDM,30,182,79,81,72.0,71.0,74.0,73.0,82.0,81.0
A. Lacazette,22000000.0,ST,31,175,73,81,70.0,81.0,76.0,83.0,44.0,74.0
Marc Bartra,17500000.0,CB,31,184,73,81,71.0,61.0,73.0,73.0,81.0,74.0
Pablo Sarabia,25000000.0,RW,30,174,70,81,73.0,76.0,82.0,82.0,57.0,59.0
H. Maguire,24000000.0,CB,29,194,100,81,48.0,57.0,68.0,67.0,80.0,84.0
J. Ward-Prowse,29500000.0,CM,27,173,66,81,59.0,74.0,86.0,78.0,67.0,73.0
L. Ocampos,27500000.0,RW,27,188,84,81,80.0,81.0,77.0,82.0,62.0,83.0
E. Višća,20500000.0,RM,32,172,63,81,87.0,78.0,78.0,82.0,47.0,64.0
T. Savanier,25000000.0,CAM,30,172,69,81,64.0,76.0,84.0,83.0,69.0,68.0
Felipe,12500000.0,CB,33,190,84,81,59.0,43.0,59.0,61.0,81.0,83.0
E. Forsberg,25000000.0,CAM,30,177,76,81,71.0,73.0,83.0,83.0,35.0,62.0
Lucas Vázquez,18500000.0,RB,31,173,70,81,82.0,73.0,79.0,80.0,73.0,69.0
G. Laborde,26500000.0,ST,28,181,78,81,74.0,81.0,76.0,79.0,40.0,79.0
J. Hofmann,25500000.0,CAM,29,176,73,81,73.0,76.0,80.0,80.0,64.0,72.0
N. Tagliafico,22500000.0,LB,29,172,65,81,80.0,56.0,72.0,75.0,80.0,80.0
K. Demirbay,25500000.0,CM,28,183,75,81,69.0,76.0,81.0,82.0,71.0,72.0
V. Grifo,25500000.0,LM,29,180,76,81,74.0,75.0,80.0,81.0,40.0,63.0
R. Andrich,26500000.0,CDM,27,186,86,81,63.0,76.0,76.0,73.0,79.0,85.0
Ricardo Horta,28000000.0,CF,27,173,63,81,79.0,82.0,79.0,80.0,43.0,70.0
M. Uribe,21000000.0,CM,31,183,77,81,75.0,76.0,75.0,79.0,80.0,82.0
B. Bourigeaud,26000000.0,RW,28,178,70,81,76.0,77.0,83.0,81.0,66.0,76.0
Iñaki Williams,26500000.0,ST,28,186,80,81,94.0,78.0,72.0,78.0,38.0,83.0
S. Fofana,27500000.0,CM,27,185,74,81,73.0,74.0,75.0,80.0,73.0,85.0
A. Saint-Maximin,32500000.0,LM,25,173,67,81,90.0,73.0,73.0,88.0,27.0,68.0
M. Politano,26000000.0,RW,28,171,67,81,83.0,77.0,78.0,84.0,42.0,55.0
S. Lobotka,29500000.0,CM,27,170,64,81,71.0,68.0,79.0,81.0,73.0,70.0
C. Tolisso,27500000.0,CM,27,181,81,81,69.0,78.0,77.0,79.0,77.0,77.0
N. Keïta,29500000.0,CM,27,172,64,81,69.0,74.0,76.0,86.0,69.0,68.0
H. Lozano,28000000.0,RW,26,175,70,81,93.0,76.0,72.0,82.0,41.0,62.0
M. Pašalić,27500000.0,CAM,27,188,82,81,75.0,79.0,76.0,80.0,67.0,77.0
L. Torreira,28500000.0,CDM,26,166,60,81,72.0,70.0,76.0,80.0,78.0,76.0
K. Phillips,32000000.0,CDM,26,178,72,81,66.0,65.0,77.0,76.0,79.0,82.0
Borja Iglesias,25500000.0,ST,29,187,86,81,66.0,82.0,65.0,74.0,40.0,81.0
J. Gomez,34000000.0,CB,25,188,77,81,80.0,30.0,67.0,69.0,81.0,78.0
G. Rodríguez,26500000.0,CDM,27,185,80,81,51.0,57.0,71.0,68.0,84.0,77.0
